1950,7
1953,4
1954,14
1955,28
1956,12
1957,21
1958,42
1959,4
1960,3
1961,17
1962,40
1963,18
1964,11
1965,10
1966,88
1967,21
1968,25
1969,68
1970,29
1971,45
1972,38
1973,67
1974,39
1975,31
1976,68
1977,92
1978,73
1979,81
1980,88
1981,76
1982,75
1983,53
1984,75
1985,139
1986,121
1987,210
1988,67
1989,117
1990,85
1991,106
1992,115
1993,110
1994,128
1995,128
1996,144
1997,191
1998,324
1999,299
2000,327
2001,340
2002,444
2003,415
2004,365
2005,323
2006,276
2007,309
2008,346
2009,395
2010,431
2011,490
2012,607
2013,578
2014,705
2015,566
