3626cpr1134	Minifig Head Dual Sided Wolf with Yellow Eyes, Black Scars, Fangs, Closed Mouth / Open Mouth Print [Hollow Stud]	Minifigs
3626cpr1135	Minifig Head Dual Sided Alien Chima Wolf with Yellow Eyes and Lavender Eye Shadow Closed Mouth / Open Mouth Print (Windra) [Hollow Stud]	Minifigs
3626cpr1136	Minifig Head Dual Sided Alien Chima Wolf with Orange Eyes and White Fangs, Wide Eyes / Narrow Eyes Print (Wilhurt) [Hollow Stud]	Minifigs
3626cpr1137	Minifig Head Dual Sided Chima Wolf with Orange Eye, Dark Gray Face and Red Scars, Closed Mouth / Open Mouth Print [Winzar] [Hollow Stud]	Minifigs
3626cpr1130	Minifig Head Dual Sided Raven with Silver Beak and Red Mask, Wide Eyes / Narrow Eyes Print [Razar] [Hollow Stud]	Minifigs
3626cpr1131	Minifig Head Dual Sided Chima Raven with Beak, Yellow Eyes and Dark Red Pupils, Narrow / Wide Eyes Print [Hollow Stud]	Minifigs
4449	Minifig Briefcase	Minifig Accessories
98138pr0024b	Tile Round 1 x 1 with Octagon (Arkenstone) Print	Tiles Printed
98138pr0024a	Tile Round 1 x 1 with Black Coin Print with 5 Mark	Tiles Printed
3626cpr1138	Minifig Head Dual Sided Alien Chima Wolf with Yellow Eyes, Fur, Eyebrows, Fangs, Closed Mouth / Open Mouth Print (Wakz) [Hollow Stud]	Minifigs
3626cpr1139	Minifig Head Dual Sided Alien Chima Crocodile with Dark Brown Eye Borders, White Eyebrows, Wide Eyes / Narrow Eyes Print (Crominus) [Hollow Stud]	Minifigs
55296	Minifig Tool Oil Can - Smooth Handle	Minifig Accessories
55297	Minifig Tool Power Drill	Minifig Accessories
55295	Minifig Tool Small Hammer - 6-Rib Handle	Minifig Accessories
55298	Minifig Tool Screwdriver  - Narrow Head	Minifig Accessories
55299	Minifig Tool Open Ended Wrench - 6-Rib Handle	Minifig Accessories
51262	Plate 8 x 8	Duplo, Quatro and Primo
51261	Duplo Building Wall 1 x 8 x 6 with Door Opening	Duplo, Quatro and Primo
51260	Duplo Building Wall 1 x 8 x 6 with Window Opening, Hinge on Right	Duplo, Quatro and Primo
87969	CROCODILE, ASSEMBLED, DEC. NO. 2	Duplo, Quatro and Primo
7787stk01	Sticker for Set 7787 - (60401/4511973)	Non-LEGO
3626cpr0994	Minifig Head Dual Sided Goatee Stern / Grimacing Print [Hollow Stud]	Minifigs
3626cpr0997	Minifig Head Male Scar over Left Eye, Wrinkles Print (Even Piell) [Hollow Stud]	Minifigs
973pr2658c01	Torso Robot with Armor, Kraang and Control Harness Print / Light Bluish Gray Arms / Dark Bluish Gray Hands	Minifigs
11233pr0005	Minifig Mask Wolf with Fangs and Gray Nose Print	Minifig Accessories
11233pr0004	Minifig Mask Wolf with Fangs, Light Bluish Gray Fur and Ears Print	Minifig Accessories
11233pr0003	Minifig Mask Wolf with Fangs, Stubble and Three Dark Red Gashes Print	Minifig Accessories
11233pr0002	Minifig Mask Wolf with Face Details, Scars and White Ears Print	Minifig Accessories
11233pr0001	Minifig Mask Wolf with Fangs and Dark Bluish Gray Nose Print	Minifig Accessories
33013pb03	Cake with Dark Pink Cherries and Oranges, Medium Blue Rim Print	Minifig Accessories
58057pr02	Duplo Dog Large Paws with Open Mouth and Spots between Eyes Print	Duplo, Quatro and Primo
58057pr03	Duplo Dog Large Paws with Black Ears and Tail and Spots	Duplo, Quatro and Primo
